j ai ans .	i m .
ils ne sont pas mauvais .	they re not evil .
elles ne sont pas mauvaises .	they re not evil .
ce ne sont pas les miens .	they re not mine .
ils sont si droles .	they re so funny .
ils sont en train de temporiser .	they re stalling .
ils sont en train de gagner du temps .	they re stalling .
elles sont en train de gagner du temps .	they re stalling .
elles sont en train de temporiser .	they re stalling .
ce sont des etudiants .	they re students .
ce sont des etudiantes .	they re students .
ce sont des eleves .	they re students .
elles sont etudiantes .	they re students .
ils sont etudiants .	they re students .
ce sont des traitres .	they re traitors .
nous ne sommes pas seuls .	we are not alone .
nous ne sommes pas seules .	we are not alone .
nous sommes un peu en retard .	we re a bit late .
nous sommes un tantinet en retard .	we re a bit late .
nous avons tous peur .	we re all afraid .
nous avons toutes peur .	we re all afraid .
nous avons tous faim .	we re all hungry .
nous avons toutes faim .	we re all hungry .
nous avons tous peur .	we re all scared .
nous avons toutes peur .	we re all scared .
nous sommes tous celibataires .	we re all single .
nous sommes toutes celibataires .	we re all single .
nous sommes tous uniques .	we re all unique .
nous sommes seuls ici .	we re alone here .
nous sommes seules ici .	we re alone here .
nous sommes stupefaits .	we re astonished .
nous sommes de retour tot .	we re back early .
on nous exploite .	we re being used .
nous avons tous deux raison .	we re both right .
nous avons toutes deux raison .	we re both right .
nous avons tous deux tort .	we re both wrong .
nous avons toutes deux tort .	we re both wrong .
nous sommes des copains de classe .	we re classmates .
nous nous en sortons pas mal .	we re doing well .
nous reduisons la voilure .	we re downsizing .
nous pigeons .	we re getting it .
nous retournons en arriere .	we re going back .
nous descendons .	we re going down .
nous nous dirigeons vers l est .	we re going east .
nous nous dirigeons a l est .	we re going east .
nous nous dirigeons vers l ouest .	we re going west .
nous nous dirigeons a l ouest .	we re going west .
nous avons a moitie raison .	we re half right .
nous nous amusons .	we re having fun .
nous sommes ici seuls .	we re here alone .
nous sommes ici seules .	we re here alone .
nous sommes la tot .	we re here early .
nous sommes tot a la maison .	we re home early .
nous sommes a la fac .	we re in college .
nous controlons la situation .	we re in control .
nous sommes dans le petrin .	we re in trouble .
on est dans le petrin .	we re in trouble .
nous sommes juste chanceux .	we re just lucky .
nous sommes juste fatigues .	we re just tired .
nous sommes juste fatiguees .	we re just tired .
nous sommes sauveteurs .	we re lifeguards .
nous sommes en train de mediter .	we re meditating .
nous ne sommes pas en train d acheter .	we re not buying .
nous ne sortons pas ensemble .	we re not dating .
nous ne fricotons pas .	we re not dating .
nous ne sommes pas en train de manger .	we re not eating .
nous ne sommes pas de la meme famille .	we re not family .
nous ne sommes pas coupables .	we re not guilty .
nous ne sommes pas en train de bouger .	we re not moving .
on n a pas besoin de nous .	we re not needed .
nous ne sommes pas idiots .	we re not stupid .
nous ne sommes pas idiotes .	we re not stupid .
nous sommes seuls .	we re on our own .
nous sommes seules .	we re on our own .
nous sommes en route .	we re on our way .
nous avons des prejuges .	we re prejudiced .
nous sommes juste la .	we re right here .
nous sommes sans voix .	we re speechless .
nous sommes encore ici .	we re still here .
nous connaissons la reussite .	we re successful .
nous sommes cernes .	we re surrounded .
nous sommes en train de decoller .	we re taking off .
nous sommes les proprietaires .	we re the owners .
nous nous deshabillons .	we re undressing .
nous sommes en train de nous deshabiller .	we re undressing .
nous sommes sans emploi .	we re unemployed .
nous sommes depourvus d emplois .	we re unemployed .
nous sommes depourvus de talent .	we re untalented .
nous sommes depourvues de talent .	we re untalented .
nos scores sont tres serres .	we re very close .
nous sommes tres proches .	we re very close .
nous sommes tres heureux .	we re very happy .
vous etes medecin .	you are a doctor .
tu es toubib .	you are a doctor .
tu es un genie .	you are a genius .
vous etes un genie .	you are a genius .
tu rougis !	you are blushing .
vous etes des enfants .	you are children .
tu es derange .	you are deranged .
tu es en train de rever .	you are dreaming .
vous etes en train de rever .	you are dreaming .
tu es fabuleux .	you are fabulous .
tu es fabuleuse .	you are fabulous .
tu es splendide .	you are gorgeous .
vous etes splendide .	you are gorgeous .
tu es impossible .	you are hopeless .
tu es incorrigible .	you are hopeless .
vous n etes pas gentil .	you are not kind .
vous etes responsable .	you are to blame .
vous etes responsables .	you are to blame .
tu arrives trop tard .	you are too late .
vous arrivez trop tard .	you are too late .
t as pas tort .	you aren t wrong .
tu es desormais un homme .	you re a man now .
vous etes desormais un homme .	you re a man now .
tu es un traitre .	you re a traitor .
vous etes un traitre .	you re a traitor .
tu es une traitresse .	you re a traitor .
vous etes une traitresse .	you re a traitor .
vous etes tous seuls .	you re all alone .
vous etes toutes seules .	you re all alone .
tu es tout seul .	you re all alone .
tu es toute seule .	you re all alone .
vous etes tout seul .	you re all alone .
vous etes toute seule .	you re all alone .
vous etes tous fous .	you re all crazy .
vous etes toutes folles .	you re all crazy .
vous etes tous contents .	you re all happy .
vous etes toutes contentes .	you re all happy .
vous etes tous heureux .	you re all happy .
vous etes toutes heureuses .	you re all happy .
vous etes tous satisfaits .	you re all happy .
vous etes toutes satisfaites .	you re all happy .
tu vas bien .	you re all right .
vous allez bien .	you re all right .
tu es ambitieuse .	you re ambitious .
tu es ambitieux .	you re ambitious .
vous etes ambitieux .	you re ambitious .
vous etes ambitieuses .	you re ambitious .
vous etes ambitieuse .	you re ambitious .
tu te fais comprendre .	you re assertive .
tu sais te faire comprendre .	you re assertive .
vous savez vous faire comprendre .	you re assertive .
tu es beau .	you re beautiful .
vous etes belle .	you re beautiful .
vous etes beaux .	you re beautiful .
vous etes belles .	you re beautiful .
tu es suffisant .	you re conceited .
tu es suffisante .	you re conceited .
vous etes suffisant .	you re conceited .
vous etes suffisante .	you re conceited .
vous etes suffisants .	you re conceited .
vous etes suffisantes .	you re conceited .
tu es courtois .	you re courteous .
tu es courtoise .	you re courteous .
vous etes courtois .	you re courteous .
vous etes courtoise .	you re courteous .
vous etes courtoises .	you re courteous .
tu es epuisee .	you re exhausted .
vous etes epuises .	you re exhausted .
vous etes epuisees .	you re exhausted .
tu es distrait .	you re forgetful .
tu es distraite .	you re forgetful .
tu es oublieux .	you re forgetful .
tu es oublieuse .	you re forgetful .
tu es etourdi .	you re forgetful .
tu es etourdie .	you re forgetful .
tu as de la chance .	you re fortunate .
tu es chanceux .	you re fortunate .
tu es chanceuse .	you re fortunate .
vous etes chanceux .	you re fortunate .
vous etes chanceuse .	you re fortunate .
vous etes chanceuses .	you re fortunate .
tu es impatient .	you re impatient .
tu es impatiente .	you re impatient .
tu es en danger .	you re in danger .
vous etes en danger .	you re in danger .
tu es mon amie .	you re my friend .
vous n etes pas medecin .	you re no doctor .
tu n es pas medecin .	you re no doctor .
vous n etes pas chanteur .	you re no singer .
vous n etes pas chanteuse .	you re no singer .
tu n es pas chanteur .	you re no singer .
tu n es pas chanteuse .	you re no singer .
tu n es pas seul .	you re not alone .
tu n es pas seule .	you re not alone .
vous n etes pas seul .	you re not alone .
vous n etes pas seuls .	you re not alone .
vous n etes pas seules .	you re not alone .
vous n etes pas seule .	you re not alone .
vous n etes pas mourant .	you re not dying .
tu n es pas vire .	you re not fired .
tu n es pas viree .	you re not fired .
vous n etes pas vire .	you re not fired .
vous n etes pas vires .	you re not fired .
vous n etes pas viree .	you re not fired .
vous n etes pas virees .	you re not fired .
tu es odieux .	you re obnoxious .
tu es odieuse .	you re obnoxious .
vous etes odieux .	you re obnoxious .
vous etes odieuse .	you re obnoxious .
vous etes odieuses .	you re obnoxious .
tu as le sens de l observation .	you re observant .
tu es depourvu de pouvoir .	you re powerless .
tu es depourvue de pouvoir .	you re powerless .
tu es tenace .	you re resilient .
vous etes tenace .	you re resilient .
vous etes tenaces .	you re resilient .
vous etes endurants .	you re resilient .
vous etes endurantes .	you re resilient .
vous etes endurant .	you re resilient .
vous etes endurante .	you re resilient .
tu es endurant .	you re resilient .
tu es endurante .	you re resilient .
tu frissonnes .	you re shivering .
tu es tellement mignonne .	you re so pretty .
tu es bavard .	you re talkative .
tu es bavarde .	you re talkative .
vous etes bavard .	you re talkative .
vous etes bavarde .	you re talkative .
vous etes bavards .	you re talkative .
vous etes bavardes .	you re talkative .
tu es trop naive .	you re too naive .
tu es trop tendu .	you re too tense .
tu es trop tendue .	you re too tense .
vous etes trop tendu .	you re too tense .
vous etes trop tendue .	you re too tense .
vous etes trop tendus .	you re too tense .
vous etes trop tendues .	you re too tense .
tu es immoral .	you re unethical .
tu es immorale .	you re unethical .
tu es fort occupe .	you re very busy .
tu es fort occupee .	you re very busy .
tu es tres occupe .	you re very busy .
tu es tres occupee .	you re very busy .
vous etes tres occupe .	you re very busy .
vous etes tres occupee .	you re very busy .
vous etes tres occupes .	you re very busy .
vous etes tres occupees .	you re very busy .
vous etes fort occupe .	you re very busy .
vous etes fort occupee .	you re very busy .
vous etes fort occupes .	you re very busy .
vous etes fort occupees .	you re very busy .
vous etes tres bonne .	you re very good .
vous etes tres bonnes .	you re very good .
vous etes fort bonne .	you re very good .
vous etes fort bonnes .	you re very good .
vous etes fort bon .	you re very good .
vous etes fort bons .	you re very good .
vous etes tres bon .	you re very good .
vous etes tres bons .	you re very good .
tu es tres bon .	you re very good .
tu es fort bon .	you re very good .
tu es tres bonne .	you re very good .
tu es fort bonne .	you re very good .
vous etes en retard .	you re very late .
vous etes tres gentille .	you re very nice .
tu es tres chouette .	you re very nice .
tu es tres gentil .	you re very nice .
tu es tres gentille .	you re very nice .
vous etes tres gentil .	you re very nice .
vous etes tres gentils .	you re very nice .
vous etes tres gentilles .	you re very nice .
vous etes tres chouette .	you re very nice .
vous etes tres chouettes .	you re very nice .
tu es tres ouvert .	you re very open .
tu es tres ouverte .	you re very open .
vous etes tres ouvert .	you re very open .
vous etes tres ouverts .	you re very open .
vous etes tres ouverte .	you re very open .
vous etes tres ouvertes .	you re very open .
tu es tres grossier .	you re very rude .
tu es fort grossier .	you re very rude .
tu es fort grossiere .	you re very rude .
tu es tres grossiere .	you re very rude .
vous etes fort grossiere .	you re very rude .
vous etes tres grossiere .	you re very rude .
vous etes fort grossieres .	you re very rude .
vous etes tres grossieres .	you re very rude .
vous etes tres grossier .	you re very rude .
vous etes fort grossier .	you re very rude .
vous etes tres grossiers .	you re very rude .
vous etes fort grossiers .	you re very rude .
tu es tres grand .	you re very tall .
tu es tres grande .	you re very tall .
vous etes tres grand .	you re very tall .
vous etes tres grande .	you re very tall .
vous etes tres grands .	you re very tall .
vous etes tres grandes .	you re very tall .
tu es tres sage .	you re very wise .
tu es tres avise .	you re very wise .
tu es fort avise .	you re very wise .
tu es tres avisee .	you re very wise .
tu es fort avisee .	you re very wise .
tu es fort sage .	you re very wise .
vous etes tres sage .	you re very wise .
vous etes fort sage .	you re very wise .
vous etes tres sages .	you re very wise .
vous etes fort sages .	you re very wise .
vous etes tres avise .	you re very wise .
vous etes tres avisee .	you re very wise .
vous etes tres avises .	you re very wise .
vous etes tres avisees .	you re very wise .
vous etes fort avise .	you re very wise .
vous etes fort avisee .	you re very wise .
vous etes fort avises .	you re very wise .
vous etes fort avisees .	you re very wise .
tu es merveilleux .	you re wonderful .
tu es merveilleuse .	you re wonderful .
vous etes merveilleux .	you re wonderful .
vous etes merveilleuse .	you re wonderful .
vous etes merveilleuses .	you re wonderful .
c est un gros mangeur .	he is a big eater .
il est biologiste .	he is a biologist .
c est un poete ne .	he is a born poet .
c est un brave homme .	he is a brave man .
c est un casse cou .	he is a daredevil .
il est detective .	he is a detective .
il est dramaturge .	he is a dramatist .
c est un gentleman .	he is a gentleman .
c est un monsieur .	he is a gentleman .
c est un physicien .	he is a physicist .
il est physicien .	he is a physicist .
c est un homme taiseux .	he is a quiet man .
c est un scientifique .	he is a scientist .
il est scientifique .	he is a scientist .
il doit avoir la quarantaine .	he is about forty .
il est americain .	he is an american .
c est un mechant homme .	he is an evil man .
il est a son bureau .	he is at his desk .
il n y a rien a en tirer .	he is beyond help .
c est un cas sans espoir .	he is beyond hope .
il se fait vieux .	he is getting old .
il est dans les affaires .	he is in business .
il est incompetent .	he is incompetent .
il est influent .	he is influential .
il est intelligent .	he is intelligent .
il est introverti .	he is introverted .
il a le meme age que moi .	he is just my age .
il n est pas marie .	he is not married .
il n est pas si grand .	he is not so tall .
il fait partie de l equipe .	he is on the team .
il a plutot raison .	he is quite right .
maintenant il court .	he is running now .
il est encore vivant .	he is still alive .
il est encore fache .	he is still angry .
il m instruit .	he is teaching me .
il est irrealiste .	he is unrealistic .
il est tres honnete .	he is very honest .
il est actuellement en train de marcher .	he is walking now .
il regarde la tv .	he is watching tv .
il regarde la television .	he is watching tv .
il n est pas la en ce moment .	he isn t here now .
il n est pas la actuellement .	he isn t here now .
il s assit sur le lit .	he sat on the bed .
il a sauve un marin .	he saved a sailor .
il a tout vu .	he saw everything .
il vit tout .	he saw everything .
il a secoue la tete .	he shook his head .
il sauta une classe .	he skipped a year .
il parle chinois .	he speaks chinese .
il parle le chinois .	he speaks chinese .
il parle anglais .	he speaks english .
il parle russe .	he speaks russian .
il parle le russe .	he speaks russian .
il parle vite .	he speaks quickly .
il s est mis a pleurer .	he started to cry .
il se mit a pleurer .	he started to cry .
il est reste debout tard .	he stayed up late .
il a derobe mon c ur .	he stole my heart .
il frotta une allumette .	he struck a match .
c est un grand lache .	he s a big coward .
il est journaliste .	he s a journalist .
c est un mordu de cinema .	he s a movie buff .
il est deja parti .	he s already left .
il s en est deja alle .	he s already left .
c est un vieux de la vieille .	he s an old timer .
c est un etudiant de premier cycle .	he s an undergrad .
il est endette jusqu au cou .	he s deep in debt .
il est originaire de georgie .	he s from georgia .
il est dans le petrin .	he s in hot water .
il est dans la mouise .	he s in hot water .
il vient d arriver .	he s just arrived .
il est assez mignon .	he s kind of cute .
il est mignon dans son genre .	he s kind of cute .
il a l air bien .	he s looking good .
il n est pas encore la .	he s not here yet .
il est vieux et laid .	he s old and ugly .
il s en met plein les poches .	he s raking it in .
il s en fourre plein les fouilles .	he s raking it in .
il ramasse l argent a la pelle .	he s raking it in .
il prend plein d oseille .	he s raking it in .
il gagne plein de thune .	he s raking it in .
il est vraiment rapide .	he s really quick .
il dort profondement .	he s sound asleep .
il est toujours celibataire .	he s still single .
il est encore celibataire .	he s still single .
il est en train de nager .	he s swimming now .
il est aux anges .	he s tickled pink .
il est trop confiant .	he s too trusting .
j ai dix huit ans .	i am years old .
j ai ans .	i am years old .
je suis un etre mauvais .	i am a bad person .
j aime les chats .	i am a cat person .
je suis vegetarienne .	i am a vegetarian .
j ai peur d y aller .	i am afraid to go .
j ai peur de m y rendre .	i am afraid to go .
je suis presque pret .	i am almost ready .
je suis presque prete .	i am almost ready .
je suis quasiment prete .	i am almost ready .
je cuis du pain .	i am baking bread .
je suis en train de cuire du pain .	i am baking bread .
je viens d angleterre .	i am from england .
je vais au lit .	i am going to bed .
je vais dormir .	i am going to bed .
je suis bon en maths .	i am good at math .
je suis dans la maison .	i am in the house .
je suis votre debiteur .	i am in your debt .
je suis votre debitrice .	i am in your debt .
je ne suis pas comme toi .	i am not like you .
je ne suis pas comme vous .	i am not like you .
je suis assez content .	i am rather happy .
je suis prepare a mourir .	i am ready to die .
je suis pret a mourir .	i am ready to die .
je suis si epuise !	i am so exhausted !
je suis si epuisee !	i am so exhausted !
je suis en train d etudier .	i am studying now .
j ai le meme age .	i am the same age .
je suis du meme age .	i am the same age .
je suis tres curieux .	i am very curious .
je suis tres satisfait .	i am very pleased .
je suis tres content .	i am very pleased .
j ai pris une decision .	i made a decision .
je pris une decision .	i made a decision .
je me suis moque de lui .	i made fun of him .
je me moquai de lui .	i made fun of him .
je t ai fait du cafe .	i made you coffee .
je vous ai fait du cafe .	i made you coffee .
il se peut que je t enterre .	i may outlive you .
il se peut que je vous enterre .	i may outlive you .
je pense ce que je dis .	i mean what i say .
j ai rencontre ton ami .	i met your friend .
mes amis me manquent .	i miss my friends .
mes amies me manquent .	i miss my friends .
mes parents me manquent .	i miss my parents .
ce lieu me manque .	i miss that place .
cet endroit me manque .	i miss this place .
j ai manque mon train .	i missed my train .
il me faut manger lentement .	i must eat slowly .
je suis canadien moi aussi .	i m canadian too .
je suis une personne occupee .	i m a busy person .
je suis un homme prudent .	i m a careful man .
je suis une bonne personne .	i m a good person .
je suis un peu occupe .	i m a little busy .
j ai un peu mal .	i m a little hurt .
je suis un peu malade .	i m a little sick .
je suis un nouvel etudiant .	i m a new student .
je suis une nouvelle etudiante .	i m a new student .
je suis un nouvel eleve .	i m a new student .
je suis une nouvelle eleve .	i m a new student .
je suis une fille normale .	i m a normal girl .
je suis un vendeur .	i m a salesperson .
je suis une vraie loque .	i m a total wreck .
je suis tout seul .	i m all by myself .
je m ennuie deja .	i m already bored .
j ai toujours faim .	i m always hungry .
je suis aussi age que toi .	i m as old as you .
je suis aussi agee que toi .	i m as old as you .
je suis aussi age que vous .	i m as old as you .
je suis aussi agee que vous .	i m as old as you .
je suis actuellement a l ecole .	i m at school now .
je suis a la prison .	i m at the prison .
je suis a votre merci .	i m at your mercy .
je suis a ta merci .	i m at your mercy .
j en suis conscient .	i m aware of that .
j en suis consciente .	i m aware of that .
je suis terriblement fatigue .	i m awfully tired .
je suis terriblement fatiguee .	i m awfully tired .
je fais attention .	i m being careful .
je fais montre de patience .	i m being patient .
je suis serieux .	i m being serious .
je suis serieuse .	i m being serious .
je suis observe .	i m being watched .
je suis en train de me concentrer .	i m concentrating .
je suis en cours de concentration .	i m concentrating .
je fais de mon mieux .	i m doing my best .
je fais mon devoir .	i m doing my duty .
j en ai marre de penser .	i m done thinking .
j en ai fini avec toi .	i m done with you .
j en ai fini avec vous .	i m done with you .
j en ai fini de vous .	i m done with you .
j en ai fini de toi .	i m done with you .
moi j en ai fini avec vous .	i m done with you .
moi j en ai fini avec toi .	i m done with you .
je suis extremement gras .	i m extremely fat .
j ai la tete qui tourne .	i m feeling dizzy .
j ai la tete qui me tourne .	i m feeling dizzy .
je suis sidere .	i m flabbergasted .
je suis abasourdi .	i m flabbergasted .
je creve de froid .	i m freezing cold .
je viens de bulgarie .	i m from bulgaria .
je viens de colombie .	i m from colombia .
je suis de la ville .	i m from the city .
je viens de la ville .	i m from the city .
je me rejouis de l avoir fait .	i m glad i did it .
je vais sauter .	i m going to jump .
je vais travailler .	i m going to work .
j en suis heureux .	i m happy with it .
je m en contente .	i m happy with it .
je suis irremplacable .	i m irreplaceable .
je ne fais que supposer .	i m just guessing .
je n en suis simplement pas sur .	i m just not sure .
je n en suis simplement pas sure .	i m just not sure .
je suis assez heureux .	i m kind of happy .
je suis pour ainsi dire heureux .	i m kind of happy .
je pars aujourd hui .	i m leaving today .
je perds du poids .	i m losing weight .
je maigris .	i m losing weight .
je ne suis pas joueur .	i m not a gambler .
je ne suis pas joueuse .	i m not a gambler .
je ne suis pas un monstre .	i m not a monster .
je ne pratique pas la divination .	i m not a psychic .
je ne suis pas devin .	i m not a psychic .
je ne suis pas telepathe .	i m not a psychic .
je ne suis pas soldat .	i m not a soldier .
je ne suis pas enseignant .	i m not a teacher .
je ne suis pas instituteur .	i m not a teacher .
je ne suis pas institutrice .	i m not a teacher .
je ne suis pas un expert .	i m not an expert .
je ne suis pas disponible .	i m not available .
je suis indisponible .	i m not available .
je ne gobe pas ca .	i m not buying it .
je ne suis pas convaincu .	i m not convinced .
je ne suis pas convaincue .	i m not convinced .
je ne suis pas dangereux .	i m not dangerous .
je ne suis pas desespere .	i m not desperate .
je ne suis pas desesperee .	i m not desperate .
je ne suis pas d ici .	i m not from here .
je n abandonne pas .	i m not giving up .
je ne suis pas impressionne .	i m not impressed .
je ne suis pas impressionnee .	i m not impressed .
je ne suis pas aux pieces .	i m not in a rush .
je ne suis pas comme ca .	i m not like that .
je n ecoute pas .	i m not listening .
je ne suis pas malheureux .	i m not miserable .
je ne suis pas malheureuse .	i m not miserable .
je ne me panique pas .	i m not panicking .
je ne panique pas .	i m not panicking .
je ne suis pas convaincu .	i m not persuaded .
je n en suis pas persuade .	i m not persuaded .
je n en suis pas persuadee .	i m not persuaded .
je ne suis pas encore pret .	i m not ready yet .
je ne suis pas encore prete .	i m not ready yet .
je ne suis pas satisfait .	i m not satisfied .
je ne suis pas satisfaite .	i m not satisfied .
je ne suis pas surpris .	i m not surprised .
je ne suis pas surprise .	i m not surprised .
je ne suis pas si rapide .	i m not that fast .
je ne suis pas l entraineur .	i m not the coach .
je ne suis pas encore fatigue .	i m not tired yet .
je ne suis pas encore fatiguee .	i m not tired yet .
je ne suis pas tres occupe .	i m not very busy .
je ne suis pas tres occupee .	i m not very busy .
je ne suis pas ton bebe .	i m not your baby .
je ne suis pas ta servante .	i m not your maid .
je ne suis pas votre servante .	i m not your maid .
je ne suis pas ta bonne .	i m not your maid .
je ne suis pas votre bonne .	i m not your maid .
j ai plus de dix huit ans .	i m over eighteen .
je suis tres serieux .	i m quite serious .
je suis tres serieuse .	i m quite serious .
j ai vraiment faim .	i m really hungry .
j ai vraiment sommeil .	i m really sleepy .
je suis juste a l exterieur .	i m right outside .
j en ai marre de mentir .	i m sick of lying .
j en ai vraiment marre de mentir .	i m sick of lying .
je suis tellement deborde .	i m so overworked .
j ai mal partout .	i m sore all over .
je suis en quelque sorte fatigue .	i m sort of tired .
je suis en quelque sorte fatiguee .	i m sort of tired .
je suis encore sceptique .	i m still dubious .
je suis toujours marie .	i m still married .
je suis toujours mariee .	i m still married .
je suis encore marie .	i m still married .
je suis encore mariee .	i m still married .
j ai toujours soif .	i m still thirsty .
j ai encore soif .	i m still thirsty .
j attends encore .	i m still waiting .
je suis suffisamment fort .	i m strong enough .
je suis suffisamment forte .	i m strong enough .
je suis assez fort .	i m strong enough .
je suis assez forte .	i m strong enough .
je suis un tel idiot .	i m such an idiot .
je suis en train de prendre mon bain .	i m taking a bath .
je suis completement saoul .	i m totally drunk .
je suis gene .	i m uncomfortable .
j y travaille .	i m working on it .
je suis votre voisin .	i m your neighbor .
elle est debutante .	she is a beginner .
elle est novice .	she is a beginner .
elle est agressive .	she is aggressive .
elle est attirante .	she is attractive .
elle est son amie .	she is her friend .
elle est son amie .	she is his friend .
elle est en colere apres vous .	she is mad at you .
elle est en colere apres toi .	she is mad at you .
elle n est pas encore debout .	she is not up yet .
elle a ans .	she is thirty one .
elle est asociale .	she is unsociable .
elle n est pas mariee .	she isn t married .
elle ne court pas .	she isn t running .
elle vend des fleurs .	she sells flowers .
elle lui sourit .	she smiled at him .
elle parle a haute voix .	she speaks loudly .
elle parle tout haut .	she speaks loudly .
elle est un peu naive .	she s a bit naive .
elle est un peu niaise .	she s a bit naive .
elle est bonne menteuse .	she s a good liar .
elle est professeur .	she s a professor .
c est une coriace .	she s a tough one .
elle est a la mode .	she s fashionable .
elle a un argument .	she s got a point .
elle n a pas tort .	she s got a point .
elle est hyperactive .	she s hyperactive .
c est ma fille .	she s my daughter .
elle n est pas une enfant .	she s not a child .
ce n est pas une enfant .	she s not a child .
elle n est pas mon genre .	she s not my type .
elle est ouverte d esprit .	she s open minded .
elle a l esprit ouvert .	she s open minded .
elle est plutot bonne .	she s rather good .
elle est encore jeune .	she s still young .
elle est tres belle .	she s very pretty .
ils sont tous morts .	they are all dead .
ils sont en classe .	they are in class .
ils sont tres gros .	they are very big .
ils sont tres grands .	they are very big .
elles sont tres grosses .	they are very big .
elles sont tres grandes .	they are very big .
elles sont tres massives .	they are very big .
ils sont tres massifs .	they are very big .
ils regardent .	they are watching .
ils ne sont pas seuls .	they aren t alone .
elles ne sont pas seules .	they aren t alone .
ils ont relache tom .	they released tom .
elles ont relache tom .	they released tom .
ils sont tous semblables .	they re all alike .
elles sont toutes semblables .	they re all alike .
ce sont tous des menteurs .	they re all liars .
ce sont toutes des menteuses .	they re all liars .
elles mentent toutes .	they re all lying .
ils mentent tous .	they re all lying .
ce sont des cannibales .	they re cannibals .
ils sont dangereux .	they re dangerous .
elles sont dangereuses .	they re dangerous .
ils sont differents .	they re different .
elles sont differentes .	they re different .
ils sont onereux .	they re expensive .
elles sont onereuses .	they re expensive .
ils sont en danger .	they re in danger .
elles sont en danger .	they re in danger .
ce sont de chics types .	they re nice guys .
ils ne sont pas seuls .	they re not alone .
elles ne sont pas seules .	they re not alone .
ils ne sont pas satisfaits .	they re not happy .
elles ne sont pas satisfaites .	they re not happy .
ils sont surpris .	they re surprised .
elles sont surprises .	they re surprised .
ils sont intacts .	they re undamaged .
elles sont intactes .	they re undamaged .
ils sont tres occupes .	they re very busy .
elles sont tres occupees .	they re very busy .
nous sommes australiens .	we are australian .
nous sommes australiennes .	we are australian .
nous sommes camarades de classe .	we are classmates .
ca ne nous fait pas rire .	we are not amused .
nous ne sommes pas maries .	we aren t married .
nous ne sommes pas mariees .	we aren t married .
nous ne sommes pas apparentes .	we aren t related .
nous ne sommes pas apparentees .	we aren t related .
nous louames un canoe .	we rented a canoe .
nous sommes une bonne equipe .	we re a good team .
nous sommes pour ainsi dire prets .	we re about ready .
nous sommes pour ainsi dire pretes .	we re about ready .
nous sommes tous en danger .	we re all at risk .
nous sommes toutes en danger .	we re all at risk .
nous sommes tous des laches .	we re all cowards .
nous sommes toutes des laches .	we re all cowards .
nous sommes tous amis .	we re all friends .
nous sommes tous retraites .	we re all retired .
nous sommes toutes retraitees .	we re all retired .
nous sommes tous a la pension .	we re all retired .
nous sommes toutes a la pension .	we re all retired .
nous sommes tous deux fous .	we re both insane .
nous sommes toutes deux folles .	we re both insane .
nous sommes tous deux celibataires .	we re both single .
nous fetons ca .	we re celebrating .
nous sommes en train de le changer .	we re changing it .
nous cooperons .	we re cooperating .
nous sommes sans defenses .	we re defenseless .
nous nous en sortons tres bien .	we re doing great .
nous avons de l experience .	we re experienced .
nous disposons d experience .	we re experienced .
nous sommes desormais amis .	we re friends now .
nous sommes desormais amies .	we re friends now .
nous nous dirigeons vers le nord .	we re going north .
nous nous dirigeons au nord .	we re going north .
nous nous dirigeons vers le sud .	we re going south .
nous nous dirigeons au sud .	we re going south .
nous sommes en train de nous en occuper .	we re handling it .
nous sommes en train de nous en charger .	we re handling it .
nous derangeons .	we re interfering .
nous sommes journalistes .	we re journalists .
nous avons juste peur .	we re just scared .
nous partons maintenant .	we re leaving now .
nous formons en quelque sorte une famille .	we re like family .
nous sommes desormais maries .	we re married now .
nous sommes desormais mariees .	we re married now .
nous ne sommes pas des laches .	we re not cowards .
nous ne sommes pas habilles .	we re not dressed .
nous ne sommes pas habillees .	we re not dressed .
nous ne sommes pas amis .	we re not friends .
nous ne sommes pas invites .	we re not invited .
nous ne sommes pas invitees .	we re not invited .
nous ne plaisantons pas .	we re not kidding .
nous ne sommes pas des tueurs .	we re not killers .
nous ne sommes pas des tueuses .	we re not killers .
nous ne partons pas .	we re not leaving .
nous sommes pas en train de regarder .	we re not looking .
nous ne sommes pas maries .	we re not married .
nous ne sommes pas mariees .	we re not married .
nous ne sommes pas parfaits .	we re not perfect .
nous ne sommes pas parfaites .	we re not perfect .
nous ne sommes pas apparentes .	we re not related .
nous ne sommes pas apparentees .	we re not related .
nous ne sommes pas serieux .	we re not serious .
nous ne sommes pas serieuses .	we re not serious .
nous ne sommes pas en train de sourire .	we re not smiling .
nous n en sommes pas si surs .	we re not so sure .
nous n en sommes pas si sures .	we re not so sure .
nous ne restons pas .	we re not staying .
nous ne sommes pas les bienvenus .	we re not welcome .
nous ne sommes pas les bienvenues .	we re not welcome .
nous sommes de vieux amis .	we re old friends .
nous sommes vieux amis .	we re old friends .
on est dans les clous .	we re on schedule .
nous sommes dans les temps .	we re on schedule .
nous sommes a court de munitions .	we re out of ammo .
nous sommes a court de biere .	we re out of beer .
nous sommes a court de lait .	we re out of milk .
on n a plus le temps .	we re out of time .
nous n avons plus de vin .	we re out of wine .
nous perseverons .	we re persevering .
nous nous retirons .	we re pulling out .
nous sommes tout a fait seuls .	we re quite alone .
nous sommes assez seuls .	we re quite alone .
nous sommes tout a fait seules .	we re quite alone .
nous sommes assez seules .	we re quite alone .
